For Query: texture analysis by computer digitized texture analysis texture synthesis perception of texture

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  N  	  0.667  	  0.400
04  	  N  	  0.500  	  0.400
05  	  N  	  0.400  	  0.400
06  	  N  	  0.333  	  0.400
07  	  N  	  0.286  	  0.400
08  	  N  	  0.250  	  0.400
09  	  N  	  0.222  	  0.400
10  	  N  	  0.200  	  0.400
11  	  N  	  0.182  	  0.400
12  	  N  	  0.167  	  0.400
13  	  N  	  0.154  	  0.400
14  	  N  	  0.143  	  0.400
15  	  N  	  0.133  	  0.400
16  	  N  	  0.125  	  0.400
17  	  N  	  0.118  	  0.400
18  	  N  	  0.111  	  0.400
19  	  N  	  0.105  	  0.400
20  	  N  	  0.100  	  0.400
21  	  N  	  0.095  	  0.400
22  	  R  	  0.136  	  0.600
23  	  N  	  0.130  	  0.600
24  	  N  	  0.125  	  0.600
25  	  N  	  0.120  	  0.600
26  	  N  	  0.115  	  0.600
27  	  N  	  0.111  	  0.600
28  	  N  	  0.107  	  0.600
29  	  N  	  0.103  	  0.600
30  	  N  	  0.100  	  0.600
31  	  N  	  0.097  	  0.600
32  	  N  	  0.094  	  0.600
33  	  N  	  0.091  	  0.600
34  	  N  	  0.088  	  0.600
35  	  N  	  0.086  	  0.600
36  	  N  	  0.083  	  0.600
37  	  N  	  0.081  	  0.600
38  	  N  	  0.079  	  0.600
39  	  N  	  0.077  	  0.600
40  	  N  	  0.075  	  0.600
41  	  N  	  0.073  	  0.600
42  	  R  	  0.095  	  0.800
43  	  N  	  0.093  	  0.800
44  	  N  	  0.091  	  0.800
45  	  N  	  0.089  	  0.800
46  	  N  	  0.087  	  0.800
47  	  N  	  0.085  	  0.800
48  	  N  	  0.083  	  0.800
49  	  N  	  0.082  	  0.800
50  	  N  	  0.080  	  0.800
51  	  N  	  0.078  	  0.800
52  	  N  	  0.077  	  0.800
53  	  N  	  0.075  	  0.800
54  	  N  	  0.074  	  0.800
55  	  N  	  0.073  	  0.800
56  	  N  	  0.071  	  0.800
57  	  N  	  0.070  	  0.800
58  	  N  	  0.069  	  0.800
59  	  N  	  0.068  	  0.800
60  	  N  	  0.067  	  0.800
61  	  N  	  0.066  	  0.800
62  	  N  	  0.065  	  0.800
63  	  N  	  0.063  	  0.800
64  	  N  	  0.062  	  0.800
65  	  N  	  0.062  	  0.800
66  	  N  	  0.061  	  0.800
67  	  N  	  0.060  	  0.800
68  	  N  	  0.059  	  0.800
69  	  N  	  0.058  	  0.800
70  	  N  	  0.057  	  0.800
71  	  N  	  0.056  	  0.800
72  	  N  	  0.056  	  0.800
73  	  R  	  0.068  	  1.000
74  	  N  	  0.068  	  1.000
75  	  N  	  0.067  	  1.000
76  	  N  	  0.066  	  1.000
77  	  N  	  0.065  	  1.000
78  	  N  	  0.064  	  1.000
79  	  N  	  0.063  	  1.000
80  	  N  	  0.062  	  1.000
81  	  N  	  0.062  	  1.000
82  	  N  	  0.061  	  1.000
83  	  N  	  0.060  	  1.000
84  	  N  	  0.060  	  1.000
85  	  N  	  0.059  	  1.000
86  	  N  	  0.058  	  1.000
87  	  N  	  0.057  	  1.000
88  	  N  	  0.057  	  1.000
89  	  N  	  0.056  	  1.000
90  	  N  	  0.056  	  1.000
91  	  N  	  0.055  	  1.000
92  	  N  	  0.054  	  1.000
93  	  N  	  0.054  	  1.000
94  	  N  	  0.053  	  1.000
95  	  N  	  0.053  	  1.000
96  	  N  	  0.052  	  1.000
97  	  N  	  0.052  	  1.000
98  	  N  	  0.051  	  1.000
99  	  N  	  0.051  	  1.000
100  	  N  	  0.050  	  1.000


Average precision = 0.1212778544702734

Average recall = 0.7299999999999998
